Date,Open,High,Low,Close,AdjClose,Vol
12-Jan-21,79.04,82.3,78.98,82.11,82.11,"6,228,700"
11-Jan-21,75.29,78.61,74.92,78,78,"5,324,600"
8-Jan-21,79.99,80.48,74.71,78.1,78.1,"8,773,800"
7-Jan-21,76.07,79.08,76.01,78.68,78.68,"6,400,000"
6-Jan-21,69.47,76.97,69.22,74.66,74.66,"14,640,900"
5-Jan-21,63.16,67.61,63.15,66.5,66.5,"6,537,400"
4-Jan-21,67.61,68.03,61.02,63.57,63.57,"11,571,300"
31-Dec-20,66.74,66.97,64.73,66.32,66.32,"5,123,000"
30-Dec-20,65.25,67.62,65.19,66.62,66.62,"5,434,500"
29-Dec-20,69.01,69.3,63.59,64.57,64.57,"9,011,500"
28-Dec-20,71.56,71.6,68.45,68.55,68.55,"8,119,600"
24-Dec-20,70.28,70.33,68.39,69.37,69.37,"4,945,600"
23-Dec-20,68.9,70.01,68.25,69.55,69.55,"5,261,100"
22-Dec-20,66.34,68.04,65.69,67.77,67.77,"7,400,300"
21-Dec-20,62.27,66.11,61.79,65.61,65.6,"11,788,400"
18-Dec-20,66.97,68.2,65.12,65.77,65.76,"8,149,700"
17-Dec-20,65.12,66.73,64.44,66.68,66.67,"6,572,800"
16-Dec-20,65.51,65.6,63.35,64.42,64.41,"7,644,300"
15-Dec-20,62.3,65.16,61.28,65.04,65.03,"8,478,600"
14-Dec-20,62.36,63.52,60.51,60.55,60.54,"9,739,800"
11-Dec-20,60.03,61.68,58.38,60.27,60.26,"9,365,200"
10-Dec-20,58,61.58,57.54,61.25,61.24,"6,933,100"
9-Dec-20,61.99,62.75,58.1,59.49,59.48,"12,993,800"
8-Dec-20,57.43,60.98,57.4,60.82,60.81,"6,956,700"
7-Dec-20,58.45,59.12,57.71,58.55,58.54,"7,171,900"
4-Dec-20,55.59,58.63,55.59,58.41,58.4,"7,859,800"
3-Dec-20,54.17,55.74,53.77,54.61,54.6,"7,258,000"
2-Dec-20,52.9,54.24,51.85,53.67,53.66,"7,433,200"
1-Dec-20,54.26,54.83,52.76,53.46,53.45,"10,854,100"
30-Nov-20,54.64,55.07,51.48,52.07,52.06,"8,412,300"
27-Nov-20,54.56,55.21,54.12,55.14,55.13,"4,568,300"
25-Nov-20,54.4,54.87,52.92,54.43,54.42,"8,252,400"
24-Nov-20,54.34,56.07,53.43,54.97,54.96,"9,468,900"
23-Nov-20,50.75,53.03,50.35,52.14,52.13,"9,118,300"
20-Nov-20,48.61,49.66,47.93,49.24,49.23,"6,090,100"
19-Nov-20,47.87,49.37,47.33,49.12,49.11,"9,720,400"
18-Nov-20,50.57,51.22,47.98,48.09,48.08,"10,582,400"
17-Nov-20,48.18,50.45,46.69,50.21,50.2,"10,361,000"
16-Nov-20,48.56,49.59,47.71,49.43,49.42,"10,717,900"
13-Nov-20,44.5,46.65,44.49,46.17,46.16,"9,867,700"
12-Nov-20,44.61,45.05,42.2,43.45,43.44,"12,581,300"
11-Nov-20,46.2,46.27,44.2,45.65,45.64,"8,357,200"
10-Nov-20,44.55,46.13,43.41,45.63,45.62,"11,127,300"
9-Nov-20,47.62,48.5,43.09,43.31,43.3,"14,504,400"
6-Nov-20,40.5,40.51,38.77,38.93,38.92,"8,547,500"
5-Nov-20,37.98,40.39,37.9,39.99,39.98,"10,077,200"
4-Nov-20,35.17,38.17,35.04,36.83,36.82,"14,491,500"
3-Nov-20,35.59,37.38,35.32,36.72,36.71,"11,342,100"
2-Nov-20,33.18,33.91,32.52,33.89,33.88,"9,704,500"
30-Oct-20,32.97,33.57,31.08,32.19,32.19,"13,354,100"
29-Oct-20,32.01,33.89,31.31,33.47,33.46,"10,976,800"
28-Oct-20,33.3,33.78,32.19,32.34,32.34,"12,723,500"
27-Oct-20,36.5,36.9,35.47,35.63,35.62,"6,035,200"
26-Oct-20,37.59,37.88,35.04,36.57,36.56,"11,864,300"
23-Oct-20,39.11,39.27,37.83,39.08,39.07,"7,614,400"
22-Oct-20,37.06,38.46,36.41,38.42,38.41,"9,288,100"
21-Oct-20,37.61,37.93,36.5,36.54,36.53,"6,779,500"
20-Oct-20,38.03,38.69,37.23,37.48,37.47,"8,169,500"
19-Oct-20,39.08,39.85,37.01,37.25,37.24,"9,773,900"
16-Oct-20,39.28,39.62,38.63,38.63,38.62,"8,876,400"
15-Oct-20,36.55,39.26,36.18,38.97,38.96,"10,013,400"
14-Oct-20,39.2,39.8,37.69,37.8,37.79,"9,310,300"
13-Oct-20,38.84,39.31,38.08,38.9,38.89,"10,611,200"
12-Oct-20,39.49,40.06,38.88,39.72,39.71,"9,073,100"
9-Oct-20,39.42,39.67,38.32,38.95,38.94,"13,639,400"
8-Oct-20,38.29,38.65,37.49,38.37,38.36,"10,775,900"
7-Oct-20,36.13,37.45,36.06,37.11,37.1,"10,625,400"
6-Oct-20,36.08,37.77,34.64,34.78,34.77,"15,936,900"
